sig_num_sap,sig_nom_bapteme,sig_capacite_totale,sig_cote_sol,sig_proprietaire,sig_gestionnaire,sig_annee_pose,indice_position,cellule_subnet,code_fonction,commentaire,centre_exploit,commune,adresse,precloca,coord_x,coord_y,gps_lat,gps_long,diponibilite,derctrl,proctrl,decompte,diamtre_trap,entreprise,entreprise_autre,implantation,acces,largeur,longueur,hauteur,alim_elec,mm_lien,stationnement,zf_nom,zone_delestage,ident,objectid,revetement,valide,nature,diam_nom,materiau,calorifuge
S00216502-B01,002165-B02,15,340.23,1014,1014,1900,5,,h,,,63073,,,762764.0398908,623648.325025,50.4127355,5.95532172,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={87623b2e-2d97-46be-9cc3-7107fd8a1157},,10,,BAT-1360,1360,X,,,,,
S00217101-B01,,240,,1014,1014,1900,5,,H,,,63073,,,762984.53504959,627656.34679235,50.44866477,5.95960789,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={9a1892b1-13c0-42cc-a860-343f926d0e3d},,10,,BAT-1361,1361,X,,,,,
S00216102-B01,002161-B01,,,1014,1014,1900,5,,,,,63073,,,763315.88425,630944.55685,50.47821216,5.96531141,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={31f5d920-9f5c-4923-b672-8897aabe96cc},,10,,BAT-1362,1362,X,,,,,
S00216201-B01,002162-B01,,,1014,1014,1900,5,,,,,63073,,,762173.5646,625037.17815,50.42533336,5.94743208,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={73ddec99-cbb6-4f3a-b238-f3785110ce9a},,10,,BAT-1363,1363,X,,,,,
S00218801-B02,002188-B02,,,1014,1014,1900,5,,,,,63073,,,763603.87865,625114.34785,50.42575302,5.96758818,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={ef02b9c0-bd1e-4219-8a4b-fefc2923374d},,10,,BAT-1364,1364,X,,,,,
S00216501-B01,002165-B01,,,1014,1014,1900,3,,a,,,63073,,,762754.22725,623714.10305,50.41333292,5.95521154,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={cd22e019-7341-4267-9f5e-7b247c2a085a},,10,,BAT-1365,1365,X,,,,,
S00216401-B01,002164-B01,,,1014,1014,1900,4,,,,,63073,,,762127.62782664,629724.85926489,50.46744688,5.94819058,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={8066e403-2e8d-4995-a69a-6c7765147699},,10,,BAT-1366,1366,X,,,,,
S00284801-B01,002848-B01,,,1014,1014,1900,4,,,,,63049,,,767899.252,626987.3464,50.44173307,6.02861408,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={b7aa4a79-9e09-4172-9e69-8baa6cd3144e},,10,,BAT-1367,1367,X,,,,,
S00219701-B01,002197-B01,,,1014,1014,1900,5,,,,,63073,,,758604.32646593,621363.66138265,50.3929915,5.89614837,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={c50d3427-a874-4bd1-ba4d-a5e1d59b8e27},,10,,BAT-1368,1368,X,,,,,
S00228901-B01,002289-B02,100,,1014,1014,1900,4,,H,,,82032,,,761462.74320577,609145.39840831,50.28256519,5.93266717,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={ffa3f6f6-dc7c-4c3f-8542-d46e00ad12e7},,10,,BAT-1369,1369,X,,,,,
