objectid,cellule_id,cellule_nom,ilf,longueur,cellule_type,racc_nbr,delestage,commentaire,zde_code,prelevement,debit_correctif,debit_nuit_ref,indice_criticite,zf_nom,adduction,secteur,cellule_color,Projet,lng_km,ilp_calc,Type_Cell
521,55102839,VIELSALM FRAITURE VERS VILLAGE,2.03,6302.55918541,DIST,69,2,,16676,,,,1,FAGNES,,,PETROLE,Cellule Distribution,6.302559185410001,10.947933683785207,Rural
539,55102829,VIELSALM LAGUESPRE VERS VIEL,2.65,29102.11556411,DIST,522,2,,16670,,,,1,FAGNES,,,VERT,Cellule Distribution,29.10211556411,17.936840325235778,Rural
551,55102833,VIELSALM RENCHEUX,2.83,11101.39183225,DIST,218,2,,16670,,,,1,FAGNES,,,CYAN,Cellule Distribution,11.10139183225,19.63717732822483,Rural
567,55102840,VIELSALM B FRAITURE H,1.36,3734.19620995,DIST,9,2,,16676,,,,1,FAGNES,,,ROUGE,Cellule Distribution,3.7341962099500003,2.4101572317006092,Rural
569,55102841,VIELSALM FRAITURE VERS BIHAIN,1.92,11402.84758543,DIST,114,2,,16676,,,,1,FAGNES,,,VERT,Cellule Distribution,11.402847585429999,9.997502741829473,Rural
580,55102828,VIELSALM LA FORET,1.27,5611.02083098,DIST,6,2,,16670,,,,1,FAGNES,,,ORANGE,Cellule Distribution,5.61102083098,1.069324135614029,Rural
583,55102832,VIELSALM VIELSAM CENTRE,3.87,9741,DIST,434,2,,16673,,,,1,FAGNES,,,FUSCHIA,Cellule Distribution,9.741,44.5539472333436,Mixte
585,55103184,STAVELOT STER VILLAGE,2.89,9976.05403927,DIST,200,2,,1088,,,,1,FAGNES,,,ROUGE,Cellule Distribution,9.97605403927,20.048006878542836,Rural
588,55103414,JALHAY CRAMA,2.8,32893.98380345,DIST,579,2,,1088,,,,1,FAGNES,,,VERT,Cellule Distribution,32.89398380345,17.602002951654434,Rural
596,55103411,JALHAY MORFAT,2.43,8242.14154845,DIST,114,2,,1088,,,,1,FAGNES,,,ROUGE,Cellule Distribution,8.24214154845,13.83135673294019,Rural
636,55102835,VIELSALM GAMY,3.93,3703.76511293,DIST,114,2,,16670,,,,1,FAGNES,,,CYAN,Cellule Distribution,3.70376511293,30.77948966094561,Rural
662,55102843,VIELSALM OTTRE,2.47,6798.40843421,DIST,112,2,,16677,,,,1,FAGNES,,,CYAN,Cellule Distribution,6.798408434210001,16.47444414142717,Rural
724,55102847,VIELSALM CLINIQUE,3.01,12759.70029572,DIST,252,2,,16670,,,,1,FAGNES,,,ORANGE,Cellule Distribution,12.75970029572,19.749680177404215,Rural
1022,42500519,ADD ANDRIFOSSE R VERS BOTRANGE INFERIEUR R,2.5,3952.52211015,ADD,0,,,1070,,,,1,FAGNES,,,CYAN_P,Cellule Adduction,3.9525221101500003,0,Rural
1061,55102823,VIELSALM ENNAL,2.07,4689.57510477,DIST,55,,,16667,,,,1,FAGNES,,,ROUGE,Cellule Distribution,4.689575104769999,11.728141413932526,Rural
1129,55300046,MALMEDY LONGFAYE HP,2.39,2518.95503465,DIST,33,,,17823,,,,1,FAGNES,,,ORANGE,Cellule Distribution,2.51895503465,13.10067053443264,Rural
1138,42500050,ADD MALMEDY FLORIHEID HAUT R VERS HEDOMONT R,2.5,3789,ADD,0,,,17825,,,,1,FAGNES,,,JAUNE_P,Cellule Adduction,3.789,0,Rural
1148,55100527,STAVELOT RIVAGE HAUT R VERS RIVAGE MOYEN R,2.77,2543.10598048,DIST,46,,,1088,,,,1,FAGNES,,,ORANGE,Cellule Distribution,2.54310598048,18.08811758262536,Rural
1197,55103192,STAVELOT WAVREUMONT,1.62,3257.52185809,DIST,21,,,1088,,,,1,FAGNES,,,VERT,Cellule Distribution,3.25752185809,6.446618292935428,Rural
1306,55102819,VIELSALM FARNIERES,1.64,2179.65550419,DIST,14,,,16665,,,,1,FAGNES,,,VERT,Cellule Distribution,2.1796555041900003,6.423033352329067,Rural
1309,S00218101-B01,STAVELOT LODOMEZ B ST/R300,,39.58253615,OUV,0,,,1088,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.03958253615,0,Rural
1335,55103166,STAVELOT STOCKEU,5.01,10958.01787959,DIST,246,,,1088,,,,1,FAGNES,,,PETROLE,Cellule Distribution,10.958017879589999,22.44931544218326,Rural
